75 -26.7953 10.2857 30.0062 4567.95
972 -26.1896 6.17315 29.8266 2201.36
1925 -25.1883 18.0239 -12.3948 9209.54
3856 -24.1238 22.9075 -4.16125 1591.83
4378 -24.5682 25.2589 6.79825 2839.08
5134 -11.638 28.6938 -3.87785 3502.7
5722 -17.155 23.6769 30.6828 3659.2
6264 0.252719 28.5424 -3.27245 3052.14
7073 -5.74218 29.9209 15.4962 3667.39
7600 -1.13698 29.7235 28.173 5824.65
9319 21.4814 19.8131 11.3967 2317.49
9635 24.4079 17.7664 13.2175 1754.01
9893 25.9163 16.2407 19.3947 2313.06
10435 -1.02018 -30.9734 30.2801 2636.97
10843 4.45882 -30.3112 29.1925 2987.73
11517 16.5299 -26.7215 18.0909 10229
13703 19.5661 -18.4933 4.34195 10088.3
15841 23.7857 -18.5911 12.4176 3865.9
16566 32.9683 -4.03055 26.7725 2044.63
